cell_id,time_bucket,temp_c,feels_like_c,precipitation_type,precipitation_mm,snow_depth_cm,wind_speed_ms,wind_gust_ms,humidity_pct,pressure_hpa,visibility_m
55.18_37.01,2024-05-26 23:00:00,15.55,15.137693,none,0.0,0.0,10.296251,16.919998,87.03302,1005.09467,
55.21_37.06,2024-09-15 15:00:00,24.75,21.709253,none,0.0,0.0,13.746156,30.599998,29.680077,1004.3429,
55.21_37.1,2024-06-01 06:00:00,16.25,16.435762,none,0.0,0.0,8.14587,14.4,87.66435,993.00854,
55.22_36.99,2024-08-02 14:00:00,20.35,19.791681,rain,0.1,0.0,14.182355,33.48,64.564316,979.41614,
55.25_37.08,2024-09-15 16:00:00,25.1,22.172516,none,0.0,0.0,10.44,25.919998,25.731789,1000.59467,
55.27_37.11,2024-06-16 16:00:00,24.15,22.78531,none,0.0,0.0,14.145756,34.92,47.36397,986.53973,
55.27_37.11,2024-11-13 14:00:00,1.75,-2.253179,none,0.0,0.0,10.484902,22.68,73.67685,997.11816,
55.27_37.13,2024-08-26 16:00:00,27.4,28.435055,none,0.0,0.0,2.9024127,12.24,45.085514,994.79333,
55.27_37.13,2024-10-01 11:00:00,13.55,10.669086,none,0.0,0.0,15.151039,33.839996,66.36787,994.6982,
55.28_37.16,2024-07-20 12:00:00,21.6,21.466896,rain,1.3,0.0,11.966953,28.44,65.46444,982.66907,
55.32_37.14,2024-06-02 16:00:00,26.0,25.46511,none,0.0,0.0,12.429127,25.199999,47.39974,986.7747,
55.32_37.15,2024-06-27 12:00:00,24.25,23.65956,none,0.0,0.0,15.226764,33.839996,43.20612,992.4629,
55.32_37.15,2024-07-19 08:00:00,19.6,20.771355,rain,0.1,0.0,12.57426,27.72,91.63063,990.18835,
55.32_37.35,2024-08-20 21:00:00,19.1,19.403511,none,0.0,0.0,10.163227,19.8,78.63432,994.2727,
55.33_37.2,2024-09-29 05:00:00,15.1,15.224768,none,0.0,0.0,7.579261,12.24,91.943954,991.93884,
55.33_37.28,2024-08-29 13:00:00,24.75,25.551249,none,0.0,0.0,9.504272,23.759998,55.34679,1002.75507,
55.34_37.17,2024-08-09 17:00:00,21.75,20.928839,none,0.0,0.0,10.990322,25.919998,55.67813,991.61475,
55.34_37.3,2024-05-13 13:00:00,6.9,3.302494,none,0.0,0.0,7.0911775,18.72,48.77262,1001.09186,
55.36_37.14,2024-05-19 14:00:00,18.5,17.22288,none,0.0,0.0,7.386582,21.96,38.77879,997.9777,
55.36_37.19,2024-09-20 07:00:00,9.9,8.455515,none,0.0,0.0,7.5685663,12.599999,92.24455,1004.7498,
55.36_37.37,2024-08-06 08:00:00,19.95,21.576147,none,0.0,0.0,4.1046314,15.119999,80.02157,985.835,
55.37_37.39,2024-12-12 17:00:00,-4.3,-9.276749,none,0.0,17.0,14.021525,37.44,85.2804,984.45593,
55.37_37.43,2024-08-24 21:00:00,17.35,17.221004,none,0.0,0.0,7.9932966,12.959999,76.86119,996.7649,
55.38_37.39,2024-08-13 10:00:00,17.5,16.043129,none,0.0,0.0,14.689588,34.56,71.07766,984.4921,
55.38_37.4,2024-06-09 08:00:00,17.5,16.518206,none,0.0,0.0,7.729527,21.599998,63.30173,990.6985,
55.38_37.4,2024-09-01 19:00:00,22.95,21.90335,none,0.0,0.0,10.44,18.0,48.620934,1003.6342,
55.39_37.33,2024-05-29 10:00:00,24.5,25.504799,none,0.0,0.0,0.0,9.36,42.563915,995.93976,
55.39_37.35,2024-12-01 19:00:00,0.35,-3.5744216,none,0.0,8.0,11.362834,22.68,90.982,1001.8782,
55.39_37.41,2024-09-04 21:00:00,15.35,12.618748,none,0.0,0.0,14.973577,27.359999,61.129677,1010.2969,
55.3_37.13,2024-07-05 17:00:00,24.85,26.459568,rain,1.6,0.0,10.483357,27.0,67.82582,982.0298,
55.3_37.2,2024-06-20 16:00:00,15.45,10.658955,rain,0.2,0.0,32.47591,59.399998,68.82099,978.68005,
55.3_37.21,2024-06-03 11:00:00,22.85,22.900236,rain,0.1,0.0,16.831684,38.519997,64.07011,983.22864,
55.3_37.21,2024-10-05 18:00:00,10.3,8.261947,none,0.0,0.0,7.2,14.04,74.93918,993.3212,
55.41_37.18,2024-07-17 22:00:00,23.75,23.656086,none,0.0,0.0,7.729527,12.959999,51.79887,995.88257,
55.41_37.19,2024-07-28 21:00:00,20.55,22.54398,none,0.0,0.0,1.2979984,4.32,76.6197,988.7574,
55.41_37.2,2024-09-07 22:00:00,16.65,15.454931,none,0.0,0.0,6.0347,7.2,59.800396,1006.37476,
55.41_37.24,2024-09-20 00:00:00,12.7,11.214533,none,0.0,0.0,8.12197,15.84,77.413376,1004.817,
55.41_37.25,2024-07-06 13:00:00,21.75,20.356771,none,0.0,0.0,16.78156,37.44,44.11532,992.0187,
55.41_37.38,2024-09-21 10:00:00,17.8,16.827213,none,0.0,0.0,12.7279215,28.44,72.54612,999.62665,
55.41_37.47,2024-07-15 16:00:00,27.5,28.823414,rain,0.2,0.0,13.708391,28.8,59.461388,998.14844,
55.42_37.4,2024-08-26 12:00:00,25.9,28.385433,none,0.0,0.0,3.5455887,13.32,57.610302,1001.41504,
55.42_37.41,2024-08-20 15:00:00,24.4,25.692463,rain,0.1,0.0,13.138765,29.519999,70.33266,994.2912,
55.43_36.87,2024-07-23 11:00:00,21.35,20.089434,none,0.0,0.0,14.345898,32.039997,57.621532,988.6247,
55.43_37.28,2024-08-26 16:00:00,27.55,29.100021,none,0.0,0.0,1.4399999,6.8399997,47.054523,998.68414,
55.44_36.87,2024-06-21 16:00:00,20.95,17.37203,none,0.0,0.0,21.203358,45.36,43.742466,983.9434,
55.45_36.95,2024-09-03 16:00:00,24.55,22.46007,none,0.0,0.0,10.296251,24.48,34.220383,1004.52466,
55.46_36.92,2024-08-13 09:00:00,15.8,13.763025,none,0.0,0.0,16.299694,33.12,73.63457,982.98004,
55.46_37.29,2024-06-07 16:00:00,22.2,19.73007,none,0.0,0.0,20.633371,42.839996,51.562687,988.44806,
55.46_37.3,2024-08-31 22:00:00,18.05,17.65591,none,0.0,0.0,7.289444,11.159999,68.43271,1000.7326,
55.47_37.26,2024-05-19 13:00:00,17.95,16.90532,none,0.0,0.0,8.669949,24.119999,39.1667,997.3969,
55.47_37.3,2024-08-09 15:00:00,21.0,20.293306,rain,0.1,0.0,12.538134,27.359999,62.23271,987.9668,
55.47_37.31,2024-10-10 08:00:00,6.1,3.1027231,none,0.0,0.0,10.196647,20.519999,83.711105,990.8105,
55.47_37.54,2024-09-12 20:00:00,21.85,18.284384,none,0.0,0.0,18.844202,39.96,37.75215,999.75446,
55.48_36.94,2024-09-29 11:00:00,18.35,15.667824,none,0.0,0.0,19.9954,39.6,61.216934,991.0672,
55.48_37.28,2024-05-28 00:00:00,13.35,11.464104,none,0.0,0.0,7.42159,11.5199995,64.75362,1004.2569,
55.48_37.3,2024-06-07 16:00:00,22.65,20.48737,none,0.0,0.0,20.633371,43.56,51.341965,987.91223,
55.48_37.34,2024-09-09 21:00:00,18.2,16.854012,none,0.0,0.0,9.726665,17.64,59.57141,997.3828,
55.48_37.52,2024-07-09 17:00:00,29.65,30.239346,none,0.0,0.0,5.6920996,15.4800005,39.30712,998.3151,
55.48_37.53,2024-05-23 07:00:00,11.4,8.330656,none,0.0,0.0,10.041354,20.519999,56.482803,1007.1506,
55.48_37.54,2024-05-10 21:00:00,8.2,5.1558523,none,0.0,0.0,12.24,23.4,79.144295,988.4021,
55.48_37.54,2024-07-23 17:00:00,22.5,19.913078,none,0.0,0.0,14.57889,28.8,40.06048,993.0051,
55.49_37.3,2024-06-13 10:00:00,23.25,25.679543,none,0.0,0.0,1.484318,17.28,69.67511,987.8123,
55.49_37.3,2024-06-13 15:00:00,20.9,20.032059,none,0.0,0.0,16.75064,34.56,67.89702,988.7642,
55.49_37.51,2024-08-15 15:00:00,20.5,18.382141,none,0.0,0.0,17.068707,34.2,49.595543,997.44116,
55.49_37.56,2024-09-08 20:00:00,16.9,15.327507,none,0.0,0.0,9.36,12.599999,60.468403,1006.3872,
55.49_37.57,2024-09-14 02:00:00,16.7,14.37945,none,0.0,0.0,11.983188,20.880001,55.70267,1003.80426,
55.4_37.19,2024-06-29 13:00:00,27.85,30.06577,none,0.0,0.0,5.0142193,18.359999,46.984207,991.3142,
55.4_37.24,2024-06-05 05:00:00,15.4,15.590168,none,0.0,0.0,9.0,16.56,94.67752,987.6834,
55.4_37.24,2024-07-03 19:00:00,25.3,26.464579,none,0.0,0.0,11.966953,24.119999,63.991924,984.1624,
55.4_37.44,2024-07-22 08:00:00,18.65,20.138823,rain,0.7,0.0,4.3498964,16.199999,85.39478,992.8122,
55.4_37.44,2024-08-09 14:00:00,21.7,21.165813,none,0.0,0.0,11.592894,24.48,60.0088,992.9701,
55.4_37.44,2024-08-30 00:00:00,15.75,15.505081,none,0.0,0.0,6.830519,11.159999,80.48673,1008.31146,
55.51_37.24,2024-09-08 16:00:00,24.1,23.196604,none,0.0,0.0,5.506941,13.32,39.83957,1006.95245,
55.51_37.44,2024-06-27 18:00:00,23.0,22.62138,none,0.0,0.0,9.449572,20.519999,53.844925,996.4701,
55.51_37.55,2024-05-22 07:00:00,13.3,10.955629,none,0.0,0.0,10.163227,20.16,63.859276,1000.9391,
55.51_37.55,2024-07-23 18:00:00,22.3,19.87681,none,0.0,0.0,13.281023,28.8,40.276306,994.21716,
55.51_37.56,2024-05-24 08:00:00,15.1,12.398567,none,0.0,0.0,6.638072,18.0,42.223473,1012.6208,
55.51_37.56,2024-06-12 13:00:00,27.05,29.228817,rain,0.3,0.0,14.182355,33.12,61.050877,988.5538,
55.51_37.56,2024-09-26 15:00:00,20.1,15.701126,none,0.0,0.0,19.800817,37.8,33.535915,998.9392,
55.52_37.33,2024-07-14 16:00:00,29.1,30.933086,none,0.0,0.0,7.2,19.44,51.045208,993.9215,
55.52_37.37,2024-07-13 08:00:00,22.4,23.044056,none,0.0,0.0,5.991594,20.880001,61.35066,996.7275,
55.52_37.38,2024-05-09 05:00:00,-1.6,-7.2203894,none,0.0,1.0,18.899143,37.8,73.3235,1000.73126,
55.52_37.39,2024-05-21 09:00:00,20.05,20.064606,none,0.0,0.0,6.297428,16.919998,63.661945,1000.39136,
55.52_37.5,2024-09-07 21:00:00,18.2,16.934603,none,0.0,0.0,6.151683,7.2,53.496952,1008.7296,
55.52_37.58,2024-08-07 03:00:00,14.25,14.566065,none,0.0,0.0,5.904439,8.28,96.18316,987.6835,
55.53_37.16,2024-06-14 20:00:00,19.6,20.877409,none,0.0,0.0,4.6938252,6.8399997,78.45552,993.2544,
55.53_37.21,2024-10-08 10:00:00,12.45,11.623002,rain,0.4,0.0,9.826088,20.16,96.76584,980.4337,
55.53_37.22,2024-08-02 05:00:00,12.4,11.247663,none,0.0,0.0,11.620809,21.24,95.81213,979.08374,
55.53_37.39,2024-07-05 13:00:00,21.95,23.419336,rain,0.1,0.0,12.10157,31.68,81.81414,987.97845,
55.53_37.44,2024-08-24 16:00:00,22.15,21.518415,none,0.0,0.0,10.144082,20.880001,55.05298,1001.383,
55.53_37.45,2024-05-24 05:00:00,6.55,4.041539,none,0.0,0.0,6.193674,11.879999,78.341545,1011.69293,
55.53_37.45,2024-09-22 12:00:00,12.95,9.952455,none,0.0,0.0,8.669949,22.68,48.53793,1001.6348,
55.53_37.51,2024-08-29 20:00:00,19.3,18.979082,none,0.0,0.0,7.5685663,11.879999,64.758675,1005.6268,
55.53_37.52,2024-08-20 13:00:00,23.75,25.12334,rain,0.1,0.0,13.556282,29.16,74.51521,994.21643,
55.53_37.52,2024-09-11 20:00:00,21.0,19.032574,none,0.0,0.0,13.684735,23.759998,49.564182,997.58716,
55.53_37.58,2024-06-20 19:00:00,14.5,11.348626,none,0.0,0.0,21.915691,52.56,74.893425,984.5585,
55.53_37.58,2024-07-06 15:00:00,22.6,20.187696,none,0.0,0.0,19.809813,39.96,40.088856,995.0701,
55.54_37.17,2024-07-05 19:00:00,23.05,25.284445,rain,2.4,0.0,8.64,25.199999,79.19734,982.8093,
