cell_id,time_bucket,temp_c,feels_like_c,precipitation_type,precipitation_mm,snow_depth_cm,wind_speed_ms,wind_gust_ms,humidity_pct,pressure_hpa,visibility_m
55.21_36.97,2023-06-03 07:00:00,10.35,8.041655,none,0.0,0.0,12.864649,27.0,87.41591,985.87024,
55.22_36.98,2023-06-20 18:00:00,22.8,18.548096,none,0.0,0.0,21.980644,44.28,33.259914,987.5593,
55.22_36.99,2023-08-08 21:00:00,20.6,19.399143,none,0.0,0.0,12.9249525,24.48,58.583336,987.15155,
55.22_36.99,2023-08-28 13:00:00,20.75,20.830275,none,0.0,0.0,3.5455887,18.72,51.350876,988.08014,
55.25_37.08,2023-08-07 17:00:00,28.2,26.17689,none,0.0,0.0,24.248613,48.239998,43.446472,983.19214,
55.25_37.32,2023-08-12 22:00:00,19.1,19.941544,rain,0.8,0.0,13.755579,29.519999,92.46929,989.22034,
55.26_37.11,2023-07-03 18:00:00,22.2,18.930552,none,0.0,0.0,18.391735,38.16,39.434868,982.7527,
55.26_37.17,2023-06-17 18:00:00,25.3,23.18882,none,0.0,0.0,9.931042,27.72,32.060455,989.5053,
55.26_37.33,2023-07-16 09:00:00,19.0,18.361565,none,0.0,0.0,14.039999,36.0,74.18866,991.89087,
55.27_37.39,2023-04-30 12:00:00,10.65,5.9237385,none,0.0,1.0,18.218275,38.519997,48.940796,994.33435,
55.31_37.18,2023-06-21 23:00:00,13.35,11.248359,none,0.0,0.0,6.725354,10.08,58.79235,993.68896,
55.31_37.18,2023-07-31 19:00:00,21.35,21.718273,none,0.0,0.0,6.8777895,15.119999,63.741875,985.407,
55.31_37.35,2023-08-08 19:00:00,23.55,25.214264,none,0.0,0.0,4.6800003,16.199999,65.45844,991.5643,
55.32_37.35,2023-05-02 16:00:00,14.15,10.51328,none,0.0,0.0,8.669949,19.44,33.492878,999.82477,
55.32_37.37,2023-06-07 17:00:00,21.85,17.969961,none,0.0,0.0,18.391735,39.96,33.568245,996.55493,
55.33_37.17,2023-09-22 20:00:00,16.0,13.720488,none,0.0,0.0,12.397806,21.599998,59.846436,1002.3577,
55.35_37.15,2023-06-23 18:00:00,22.6,22.839676,rain,0.1,0.0,8.891343,21.24,60.805584,986.42926,
55.35_37.33,2023-09-03 12:00:00,20.3,19.929949,none,0.0,0.0,6.8777895,19.08,53.504383,998.8718,
55.37_37.19,2023-08-07 23:00:00,23.5,21.85014,none,0.0,0.0,21.461555,41.399998,57.028465,986.31134,
55.37_37.21,2023-09-22 06:00:00,11.65,10.934176,none,0.0,0.0,7.24486,10.799999,96.42559,1000.17145,
55.37_37.38,2023-05-07 23:00:00,-0.05,-3.9429774,none,0.0,0.0,7.386582,11.879999,67.75363,1006.61566,
55.37_37.38,2023-09-02 21:00:00,15.9,16.293324,rain,0.2,0.0,8.766573,18.0,94.393486,997.41724,
55.37_37.42,2023-05-07 20:00:00,3.5,-0.31224632,none,0.0,0.0,8.647496,11.5199995,62.237858,1006.8384,
55.38_37.21,2023-10-22 16:00:00,2.6,-1.527431,rain,0.1,1.0,13.891522,28.44,83.888435,994.2217,
55.38_37.36,2023-06-13 12:00:00,18.9,16.41499,none,0.0,0.0,17.935081,39.6,37.820934,1002.2735,
55.38_37.38,2023-05-24 10:00:00,17.9,18.276321,none,0.0,0.0,5.4833565,15.84,76.20083,992.08124,
55.38_37.39,2023-08-05 22:00:00,21.4,22.516027,none,0.0,0.0,5.1165614,8.28,69.09684,996.5313,
55.39_37.33,2023-08-13 18:00:00,18.45,18.305088,rain,0.4,0.0,15.137133,32.039997,85.64703,990.8616,
55.39_37.39,2023-05-07 16:00:00,7.65,3.2718134,none,0.0,0.0,9.826088,24.48,35.843945,1007.12384,
55.39_37.42,2023-05-01 12:00:00,10.85,7.0086737,none,0.0,0.0,15.986593,33.48,60.685272,991.9437,
55.3_37.2,2023-07-29 12:00:00,15.6,14.951509,rain,0.7,0.0,14.118243,29.88,91.973854,980.97296,
55.3_37.21,2023-04-27 15:00:00,19.05,15.719915,none,0.0,0.0,14.408997,33.839996,39.48423,986.55914,
55.41_37.18,2023-08-05 06:00:00,17.15,17.7602,none,0.0,0.0,7.145796,11.879999,86.90193,995.8054,
55.41_37.26,2023-06-04 17:00:00,13.8,9.768444,none,0.0,0.0,14.003029,29.519999,41.248146,998.79895,
55.41_37.47,2023-04-04 14:00:00,13.4,11.560125,none,0.0,0.0,1.609969,12.24,49.532845,998.7581,
55.42_36.84,2023-07-07 15:00:00,24.3,25.738728,rain,1.6,0.0,13.1041975,30.599998,72.09405,988.7797,
55.42_36.84,2023-07-08 13:00:00,21.25,21.232368,none,0.0,0.0,12.224107,27.0,68.625626,989.44666,
55.42_37.2,2023-06-02 10:00:00,19.7,19.484177,none,0.0,0.0,7.42159,20.16,50.2193,986.6484,
55.42_37.41,2023-07-21 19:00:00,18.05,16.572407,none,0.0,0.0,9.3669195,20.519999,57.573833,986.968,
55.42_37.41,2023-07-28 22:00:00,16.85,17.031563,rain,0.6,0.0,9.826088,19.8,88.000824,985.0583,
55.43_36.86,2023-08-28 19:00:00,17.15,16.412756,none,0.0,0.0,7.072878,11.5199995,66.90642,987.51666,
55.43_36.87,2023-08-03 08:00:00,22.85,24.949274,none,0.0,0.0,10.233123,23.4,81.16586,983.19336,
55.43_37.0,2023-05-11 00:00:00,8.35,6.0141764,none,0.0,0.0,4.379589,5.3999996,66.870186,1000.35913,
55.43_37.13,2023-08-01 10:00:00,23.65,24.968845,none,0.0,0.0,4.3349743,14.4,54.89368,991.4926,
55.43_37.34,2023-05-31 08:00:00,11.4,8.935749,rain,0.4,0.0,15.856354,33.12,87.51317,993.99915,
55.43_37.39,2023-09-12 17:00:00,18.35,17.368528,none,0.0,0.0,4.0249224,12.959999,52.6385,999.31915,
55.44_36.87,2023-07-27 23:00:00,18.9,19.211424,rain,3.9,0.0,17.698677,42.48,94.22115,974.8994,
55.44_37.15,2023-11-24 11:00:00,-4.85,-9.398843,snow,0.1,7.0,10.948973,22.68,87.53715,949.2416,
55.45_36.94,2023-06-08 11:00:00,20.55,20.013634,none,0.0,0.0,9.19939,27.72,45.445343,996.3112,
55.45_37.25,2023-07-27 14:00:00,23.85,24.57871,none,0.0,0.0,12.0694,27.359999,62.075928,984.3478,
55.45_37.53,2023-08-17 09:00:00,21.3,22.722681,none,0.0,0.0,3.8268526,12.24,70.86949,1005.0832,
55.46_36.94,2023-07-16 10:00:00,19.7,18.97099,none,0.0,0.0,14.658676,34.92,71.026924,992.4508,
55.47_36.93,2023-04-20 14:00:00,15.5,11.58105,none,0.0,0.0,12.096214,27.359999,34.260723,996.7204,
55.47_36.93,2023-07-08 10:00:00,20.25,20.497208,rain,1.2,0.0,12.303366,27.0,76.32872,989.7064,
55.47_36.93,2023-08-04 18:00:00,24.95,25.555454,none,0.0,0.0,11.503113,29.16,59.61724,987.2315,
55.47_36.93,2023-08-25 14:00:00,18.3,16.709257,none,0.0,0.0,4.829907,14.759999,46.067,993.5466,
55.47_36.93,2023-09-13 07:00:00,8.65,7.0143967,none,0.0,0.0,6.696387,10.799999,92.17026,998.3033,
55.47_37.29,2023-06-01 15:00:00,21.15,17.538528,none,0.0,0.0,16.992609,40.68,35.77586,986.36725,
55.47_37.3,2023-05-13 15:00:00,21.55,18.020676,none,0.0,0.0,14.512064,30.960001,27.383955,997.24963,
55.47_37.31,2023-05-06 23:00:00,-0.55,-4.7366753,none,0.0,0.0,8.404285,14.759999,63.148884,1002.62634,
55.47_37.35,2023-10-02 21:00:00,9.2,6.4190454,none,0.0,0.0,11.384198,21.24,77.3925,995.9938,
55.48_36.91,2023-08-04 13:00:00,26.4,25.947119,rain,0.2,0.0,21.650938,42.48,55.578842,986.96155,
55.48_37.27,2023-05-28 11:00:00,13.75,11.056599,rain,0.1,0.0,13.202726,30.599998,63.742287,995.6358,
55.48_37.3,2023-06-01 11:00:00,19.0,15.860907,none,0.0,0.0,21.67487,43.56,42.599686,988.9011,
55.48_37.3,2023-08-25 13:00:00,18.45,17.51173,none,0.0,0.0,1.1384199,10.440001,43.937847,993.09406,
55.48_37.3,2023-08-31 18:00:00,23.1,23.083359,none,0.0,0.0,9.885262,23.759998,57.859154,992.1355,
55.48_37.32,2023-04-24 23:00:00,8.65,5.6212635,none,0.0,0.0,7.6367526,13.679999,59.932144,991.9379,
55.48_37.32,2023-04-25 10:00:00,15.85,14.0847645,none,0.0,0.0,4.802999,17.28,50.731117,990.8425,
55.48_37.46,2023-09-02 14:00:00,19.2,20.670813,rain,2.1,0.0,0.71999997,10.08,75.42967,1000.0387,
55.48_37.53,2023-08-05 18:00:00,27.35,28.424866,none,0.0,0.0,5.634891,15.4800005,48.68927,998.63306,
55.49_36.92,2023-04-21 16:00:00,14.4,9.408152,none,0.0,0.0,18.345877,36.36,33.937748,988.95447,
55.49_37.3,2023-03-26 05:00:00,0.8,-1.5699847,none,0.0,13.0,2.5455842,2.8799999,100.0,980.7558,
55.49_37.3,2023-04-29 15:00:00,12.5,8.5402155,none,0.0,1.0,9.793058,33.839996,34.130135,997.2153,
55.49_37.3,2023-06-07 21:00:00,14.45,13.07555,none,0.0,0.0,6.193674,13.32,66.11034,997.0798,
55.49_37.3,2023-07-12 21:00:00,13.8,11.195626,none,0.0,0.0,12.429127,23.039999,63.101635,988.01904,
55.49_37.3,2023-07-20 09:00:00,17.3,14.921787,none,0.0,0.0,19.803272,45.36,69.419106,983.0145,
55.49_37.3,2023-07-30 17:00:00,22.6,20.990692,none,0.0,0.0,12.7279215,29.16,47.25508,987.32526,
55.49_37.3,2023-09-08 07:00:00,10.65,7.672682,none,0.0,0.0,14.8257065,29.88,77.08997,997.70276,
55.49_37.31,2023-05-16 07:00:00,14.0,12.229969,none,0.0,0.0,6.9527545,16.56,62.931633,1002.7733,
55.49_37.32,2023-03-25 23:00:00,4.0,1.2910166,none,0.0,13.0,8.217153,16.199999,96.88525,983.3806,
55.49_37.32,2023-05-07 21:00:00,3.25,-0.5201273,none,0.0,0.0,6.1094027,10.08,51.115456,1008.97217,
55.49_37.55,2023-07-22 02:00:00,12.45,11.035537,none,0.0,0.0,10.703569,17.64,87.609344,989.296,
55.49_37.57,2023-08-08 14:00:00,24.5,26.424992,rain,0.5,0.0,9.605998,23.039999,71.01363,989.84863,
55.49_37.58,2023-08-10 17:00:00,24.25,23.976295,none,0.0,0.0,5.2416787,15.84,45.10678,1002.74567,
55.4_37.43,2023-08-27 12:00:00,19.75,20.061264,none,0.0,0.0,4.802999,15.4800005,62.97305,990.3357,
55.4_37.44,2023-07-10 16:00:00,18.95,15.331203,none,0.0,0.0,22.19773,43.199997,50.871433,992.94507,
55.4_37.44,2023-07-27 23:00:00,21.15,23.0465,rain,10.2,0.0,7.5942073,32.760002,83.26905,983.55316,
55.4_37.44,2023-08-01 18:00:00,23.6,24.460855,none,0.0,0.0,8.217153,18.72,62.41694,992.0535,
55.4_37.44,2023-09-16 11:00:00,14.05,11.765755,none,0.0,0.0,12.964998,28.8,69.237526,1009.1635,
55.51_37.26,2023-08-05 23:00:00,20.7,21.402353,none,0.0,0.0,7.289445,11.5199995,70.984795,998.40894,
55.51_37.34,2023-09-24 11:00:00,20.85,18.459475,none,0.0,0.0,16.981165,35.28,50.696365,1003.0453,
55.51_37.54,2023-05-30 18:00:00,19.4,16.64083,none,0.0,0.0,11.525623,24.48,40.557644,995.2377,
55.51_37.54,2023-07-01 22:00:00,19.15,18.480865,none,0.0,0.0,11.928989,25.199999,69.10192,978.90936,
55.51_37.54,2023-08-24 14:00:00,16.1,14.814339,none,0.0,0.0,9.021574,18.359999,67.35845,993.0182,
55.51_37.54,2023-09-15 08:00:00,11.5,9.920853,none,0.0,0.0,8.311245,15.84,82.37067,999.25555,
55.51_37.55,2023-03-26 21:00:00,3.55,0.17093849,none,0.0,5.0,12.224107,20.880001,96.87403,977.31226,
55.51_37.55,2023-05-09 23:00:00,3.8,0.04812908,none,0.0,0.0,8.4963045,12.599999,62.310574,1007.13196,
55.51_37.55,2023-06-16 09:00:00,22.6,22.036705,none,0.0,0.0,6.489992,16.919998,48.68753,994.8089,
55.51_37.55,2023-08-29 17:00:00,16.9,16.32421,none,0.0,0.0,5.7599998,16.919998,67.52419,993.9177,
55.51_37.56,2023-03-24 19:00:00,6.0,2.9397597,none,0.0,17.0,10.365251,23.759998,83.110825,984.22784,
55.51_37.57,2023-04-01 13:00:00,6.55,2.5627017,none,0.0,1.0,13.53236,28.44,66.23798,984.7902,
55.51_37.57,2023-04-16 21:00:00,5.0,0.9909272,none,0.0,0.0,8.225035,12.959999,47.501183,1007.35895,
55.51_37.57,2023-05-30 14:00:00,20.95,18.75601,none,0.0,0.0,4.6800003,14.4,31.823418,995.6459,
55.51_37.57,2023-09-03 14:00:00,21.6,20.772343,none,0.0,0.0,7.127636,20.16,46.355488,999.87665,
55.51_37.58,2023-05-17 11:00:00,21.45,19.87132,none,0.0,0.0,11.928989,27.0,34.042004,1002.95154,
55.51_37.59,2023-08-24 16:00:00,16.5,15.048592,none,0.0,0.0,8.905908,20.519999,62.863934,992.11273,
55.52_37.21,2023-09-01 04:00:00,15.2,15.078703,none,0.0,0.0,9.511088,17.64,91.94997,995.5046,
55.52_37.35,2023-04-14 12:00:00,4.65,-1.2441318,none,0.0,0.0,24.696104,50.76,46.153442,1001.5841,
55.52_37.35,2023-05-20 16:00:00,11.65,8.065718,none,0.0,0.0,15.379206,31.68,61.091877,1007.30273,
