cell_id,time_bucket,temp_c,feels_like_c,precipitation_type,precipitation_mm,snow_depth_cm,wind_speed_ms,wind_gust_ms,humidity_pct,pressure_hpa,visibility_m
55.0_37.0,2023-10-10 22:00:00,0.8,-3.2102218,none,0.0,0.0,9.659814,19.08,73.22614,994.7247,
55.21_36.97,2024-03-30 19:00:00,4.75,1.7208071,rain,0.4,23.0,9.007196,15.4800005,85.04722,989.1061,
55.24_37.04,2023-10-15 18:00:00,9.85,6.840294,none,0.0,0.0,13.479583,27.0,75.90534,979.6338,
55.24_37.05,2024-03-23 01:00:00,2.0,-2.727098,none,0.0,46.0,17.477621,32.039997,84.4279,983.3644,
55.24_37.06,2024-01-26 10:00:00,-3.55,-6.9159856,none,0.0,66.0,4.379589,9.0,93.12448,982.4996,
55.25_37.18,2023-12-01 20:00:00,-5.1,-9.001143,snow,0.3,30.000002,6.9247384,14.04,93.39303,976.9216,
55.28_37.12,2024-02-01 10:00:00,0.55,-3.3382132,none,0.0,61.0,11.983188,25.199999,95.403946,983.08075,
55.31_37.18,2024-04-14 17:00:00,13.0,8.905896,none,0.0,0.0,19.8,38.519997,58.501736,980.62195,
55.31_37.23,2024-01-21 22:00:00,-12.95,-17.989841,none,0.0,65.0,10.028439,19.08,85.64045,1007.3547,
55.32_37.15,2023-10-11 13:00:00,6.25,0.82296944,none,0.0,0.0,20.898613,43.199997,56.569027,998.556,
55.32_37.26,2024-01-29 14:00:00,-4.1,-9.616005,none,0.0,62.0,18.0,35.28,86.61495,1011.031,
55.34_37.32,2023-10-14 14:00:00,14.0,10.149736,none,0.0,0.0,24.33664,47.88,71.12553,983.9912,
55.35_37.34,2023-11-28 05:00:00,-5.3,-10.564191,snow,0.1,23.0,15.5843,30.599998,87.82991,970.40906,
55.35_37.34,2024-04-12 13:00:00,15.2,10.191303,none,0.0,0.0,26.882141,53.28,52.70565,991.0073,
55.37_37.38,2024-01-28 10:00:00,-5.95,-9.504836,none,0.0,60.000004,3.6,9.0,89.47809,1005.6968,
55.37_37.42,2024-02-25 15:00:00,-1.7,-7.186507,snow,0.2,66.0,18.806337,38.16,80.28077,1007.1203,
55.38_37.39,2024-02-06 08:00:00,-8.3,-13.436231,none,0.0,55.0,13.039754,22.68,89.27751,968.60724,
55.38_37.4,2023-11-21 20:00:00,-8.35,-14.306053,none,0.0,2.0,16.279802,32.399998,58.970016,993.95306,
55.39_37.29,2024-02-09 08:00:00,-15.75,-21.699171,none,0.0,61.0,15.119999,29.519999,81.09091,978.4843,
55.39_37.29,2024-02-16 03:00:00,-9.1,-14.039611,snow,0.2,71.0,11.212135,22.319998,88.50349,1006.9063,
55.39_37.31,2023-10-29 08:00:00,-0.55,-4.9726696,none,0.0,11.0,13.584932,29.88,88.60134,978.0599,
55.39_37.33,2024-03-27 21:00:00,-0.7,-4.5146084,none,0.0,30.000002,7.42159,11.879999,75.175385,992.8364,
55.39_37.36,2024-01-22 21:00:00,-8.85,-16.300821,none,0.0,60.000004,28.694056,54.719997,90.29383,1003.15894,
55.39_37.41,2024-05-18 20:00:00,11.0,8.470547,none,0.0,0.0,9.290511,11.5199995,67.43755,999.88184,
