cell_id,time_bucket,temp_c,feels_like_c,precipitation_type,precipitation_mm,snow_depth_cm,wind_speed_ms,wind_gust_ms,humidity_pct,pressure_hpa,visibility_m
55.82_37.53,2023-03-22 17:00:00,2.95,-0.5736704,none,0.0,44.0,9.021574,11.159999,77.775696,994.40485,
55.82_37.56,2022-10-09 09:00:00,9.95,6.6937647,none,0.0,0.0,17.309973,32.039997,82.73791,994.7462,
55.82_37.56,2022-12-02 20:00:00,-8.35,-13.8394785,none,0.0,15.000001,15.192682,24.48,86.15942,1021.5893,
55.82_37.57,2023-02-06 14:00:00,-6.6,-10.3984165,none,0.0,40.0,3.7064266,7.92,76.47034,1009.9011,
55.82_37.58,2022-09-01 14:00:00,13.9,8.229747,rain,0.1,0.0,25.922499,42.12,42.78629,990.6117,
55.82_37.58,2022-09-15 16:00:00,14.0,12.515814,none,0.0,0.0,7.5685663,18.359999,69.69777,983.0487,
55.82_37.58,2022-11-24 13:00:00,-5.1,-9.8936205,none,0.0,15.000001,12.031756,19.8,83.24046,998.46497,
55.82_37.58,2022-11-28 13:00:00,-4.45,-9.976362,snow,0.2,15.000001,17.31746,28.44,81.73806,1017.4114,
55.82_37.58,2022-12-05 16:00:00,-10.1,-15.845982,none,0.0,14.0,14.799459,23.039999,67.08185,1019.2981,
55.82_37.58,2023-01-18 17:00:00,0.3,-6.647395,none,0.0,42.0,30.85307,41.760002,82.9924,995.8268,
55.82_37.58,2023-02-10 19:00:00,-3.4,-10.481744,none,0.0,39.0,28.66694,42.12,81.571396,995.2543,
55.82_37.59,2022-12-10 21:00:00,-1.15,-5.758075,snow,2.1,21.0,15.463244,23.4,97.10935,988.7162,
55.82_37.59,2023-01-16 09:00:00,-5.1,-11.946336,none,0.0,42.0,26.400545,37.079998,86.17775,996.1315,
55.82_37.59,2023-03-15 07:00:00,1.25,-6.0238237,none,0.0,56.0,33.1845,45.36,78.07564,990.7523,
55.82_37.6,2022-11-22 08:00:00,-3.5,-9.529457,snow,1.7,9.0,22.682856,35.64,93.127266,990.82825,
55.82_37.6,2022-12-09 10:00:00,-4.8,-9.237894,none,0.0,16.0,10.464797,16.919998,89.91699,1000.1239,
55.82_37.62,2022-09-07 13:00:00,11.15,6.8147993,rain,0.1,0.0,20.880001,39.96,64.25985,993.63184,
55.82_37.62,2022-09-08 09:00:00,7.9,3.808092,rain,0.2,0.0,19.930477,37.079998,82.767,996.0824,
55.82_37.62,2022-09-15 00:00:00,11.2,10.429679,none,0.0,0.0,6.28713,11.879999,95.13723,983.50653,
55.82_37.62,2022-10-24 08:00:00,5.25,1.3392243,none,0.0,0.0,16.79314,29.16,90.36217,989.5923,
55.82_37.62,2022-11-13 16:00:00,5.65,-0.73772717,none,0.0,0.0,29.5551,53.28,68.47549,995.3581,
55.82_37.62,2022-11-14 22:00:00,-2.15,-6.5683827,none,0.0,0.0,9.957108,19.08,70.73859,1005.3009,
55.82_37.62,2022-11-30 17:00:00,-8.5,-13.44899,none,0.0,15.000001,11.4862,18.72,87.17106,1021.8136,
55.82_37.62,2022-12-19 10:00:00,-5.95,-12.021346,none,0.0,46.0,20.696085,34.56,87.76713,1006.13904,
55.82_37.62,2023-03-19 20:00:00,-3.35,-7.402244,none,0.0,52.0,7.7879906,12.959999,80.34239,1003.75525,
55.82_37.63,2022-09-21 19:00:00,10.4,8.515457,rain,0.4,0.0,10.495713,18.0,88.91246,997.377,
55.82_37.63,2022-10-12 08:00:00,3.15,0.44697475,none,0.0,0.0,5.8048253,12.959999,89.882904,998.071,
55.82_37.63,2023-03-23 19:00:00,4.5,-0.27001262,none,0.0,42.0,19.008547,33.48,76.90663,989.67896,
55.82_37.64,2022-08-13 19:00:00,24.55,23.254704,none,0.0,0.0,10.464798,20.519999,41.876503,1003.6534,
55.82_37.64,2022-10-27 08:00:00,2.15,-1.129421,none,0.0,0.0,6.696387,12.599999,78.50538,1002.2814,
55.82_37.64,2022-11-11 21:00:00,7.85,3.7642498,none,0.0,0.0,20.63023,36.0,85.98147,1001.1775,
55.82_37.64,2022-11-15 01:00:00,-2.0,-6.1754656,none,0.0,0.0,8.4963045,15.4800005,71.58693,1004.7932,
55.82_37.64,2022-12-10 18:00:00,-1.8,-6.1451883,snow,0.8,18.0,12.959999,22.319998,96.37927,993.96625,
55.82_37.64,2023-01-06 19:00:00,-24.15,-30.170593,none,0.0,42.0,13.70839,23.759998,75.84075,1003.6715,
55.82_37.64,2023-03-16 02:00:00,2.05,-2.441353,none,0.0,52.999996,16.279802,27.359999,86.606514,994.321,
55.82_37.64,2023-03-17 07:00:00,-2.15,-7.6376896,none,0.0,52.999996,19.45333,32.039997,88.12759,1003.36646,
55.82_37.65,2022-08-23 18:00:00,29.9,28.328568,none,0.0,0.0,11.525623,30.960001,29.79384,1008.6806,
55.82_37.65,2022-09-18 15:00:00,13.7,11.277561,none,0.0,0.0,15.192682,31.319998,74.25581,984.2089,
55.82_37.65,2022-12-27 16:00:00,-4.85,-10.951895,snow,0.3,37.0,21.980644,37.44,91.29616,997.9086,
55.82_37.65,2023-02-12 20:00:00,-7.45,-13.000243,none,0.0,39.0,15.990646,28.8,84.91397,1002.86163,
55.82_37.65,2023-03-04 20:00:00,-2.15,-6.3454227,snow,0.4,52.999996,11.440979,22.319998,94.94959,969.84064,
55.82_37.66,2022-10-29 23:00:00,9.25,6.546736,rain,1.8,0.0,16.199999,29.519999,96.35844,985.18317,
55.82_37.66,2022-11-02 19:00:00,-2.05,-5.8783426,none,0.0,1.0,7.9932976,13.32,86.82689,997.9946,
55.82_37.66,2023-02-08 17:00:00,-5.1,-10.031471,none,0.0,35.0,13.237039,22.319998,85.84689,1019.5492,
55.82_37.66,2023-03-16 23:00:00,0.45,-4.3033,none,0.0,47.0,17.654688,29.16,94.3658,999.63434,
55.82_37.67,2023-01-26 17:00:00,-2.35,-7.672754,none,0.0,32.0,18.11841,32.039997,87.77916,1001.47473,
55.82_37.68,2022-09-14 12:00:00,12.7,10.877639,none,0.0,0.0,12.218805,24.48,82.521225,988.3704,
55.82_37.68,2022-10-12 20:00:00,4.5,1.5841789,none,0.0,0.0,9.504272,15.84,92.89371,1002.2396,
55.82_37.7,2022-12-12 18:00:00,2.05,-3.4986873,rain,0.5,18.0,24.344624,42.839996,91.43008,985.507,
55.82_37.71,2022-11-29 00:00:00,-5.4,-10.169538,none,0.0,14.0,11.770403,23.039999,84.172775,1022.31195,
