cell_id,time_bucket,temp_c,feels_like_c,precipitation_type,precipitation_mm,snow_depth_cm,wind_speed_ms,wind_gust_ms,humidity_pct,pressure_hpa,visibility_m
55.62_37.67,2024-10-22 15:00:00,10.65,6.6606464,none,0.0,0.0,18.508516,32.760002,66.429985,1001.9953,
55.62_37.71,2024-10-26 23:00:00,6.15,3.2192078,none,0.0,0.0,11.53265,19.8,91.3795,1002.45636,
55.62_37.73,2024-10-15 06:00:00,2.9,-0.002682209,none,0.0,5.0,7.9526596,14.04,95.82991,992.1955,
55.62_37.74,2024-10-25 16:00:00,4.8,0.78479815,none,0.0,0.0,11.892265,25.199999,65.84778,1001.5449,
55.63_37.33,2024-10-17 11:00:00,5.45,2.5943618,none,0.0,1.0,6.8541956,18.0,76.51293,1008.3406,
55.63_37.43,2024-10-16 16:00:00,6.25,2.273572,none,0.0,2.0,13.6242285,28.8,68.355125,1000.9031,
55.63_37.45,2024-10-17 14:00:00,7.5,3.9781885,none,0.0,1.0,11.190442,25.199999,65.502525,1005.28436,
55.63_37.62,2024-10-21 06:00:00,2.8,-0.5215237,none,0.0,0.0,8.797931,15.119999,85.13389,1008.14716,
55.63_37.67,2024-10-17 19:00:00,1.8,-1.204809,none,0.0,1.0,6.6794305,10.799999,91.743805,1011.5012,
55.63_37.68,2024-10-18 14:00:00,7.8,4.582733,none,0.0,1.0,9.335737,19.8,65.10238,1014.7531,
55.64_37.32,2024-10-11 22:00:00,9.2,5.5850506,none,0.0,0.0,19.03665,35.64,84.366615,993.7435,
55.64_37.33,2024-10-21 20:00:00,6.5,3.0506606,none,0.0,0.0,11.103243,19.08,71.926865,1006.0063,
55.64_37.35,2024-10-23 10:00:00,9.6,7.008587,rain,0.7,0.0,14.277983,33.48,90.0625,992.00104,
55.64_37.41,2024-10-14 13:00:00,0.55,-5.3306293,snow,1.1,3.0,24.192429,48.96,85.81974,993.2286,
55.64_37.46,2024-10-18 08:00:00,-1.2,-4.6167817,none,0.0,1.0,6.6405115,10.440001,92.56698,1008.3317,
55.64_37.47,2024-10-18 13:00:00,7.0,4.1732807,none,0.0,1.0,7.072878,18.0,70.49933,1009.09424,
55.64_37.52,2024-10-28 19:00:00,8.05,5.4267197,rain,0.1,0.0,12.236029,21.24,91.19048,986.3227,
55.64_37.53,2024-10-18 12:00:00,6.0,3.1458392,none,0.0,1.0,7.5019197,18.72,76.60406,1005.5677,
55.64_37.53,2024-10-22 18:00:00,8.05,4.5472946,none,0.0,0.0,14.404499,24.84,76.13467,991.9118,
55.64_37.59,2024-10-14 08:00:00,1.55,-4.5559216,snow,0.3,0.0,23.334139,42.12,65.10688,996.67365,
55.64_37.65,2024-10-22 09:00:00,7.85,3.428647,none,0.0,0.0,16.56489,29.519999,60.820705,1002.5956,
55.64_37.65,2024-10-22 11:00:00,9.2,4.9077635,none,0.0,0.0,16.943918,31.319998,60.067963,1002.78766,
55.64_37.65,2024-10-27 09:00:00,4.85,2.1696033,none,0.0,0.0,8.490582,14.759999,93.56834,1003.5086,
55.64_37.67,2024-10-20 15:00:00,10.05,6.31166,none,0.0,0.0,14.628807,28.08,61.78972,1009.7063,
55.64_37.69,2024-10-26 23:00:00,5.85,2.9890947,none,0.0,0.0,10.981475,19.08,92.96798,1006.45184,
