year,season,month,dtp_count,dead_total,injured_total,pct_fatal,pct_ice_risk,pct_low_visibility,pct_bad_weather,pct_dark_no_lights,avg_temp_c,avg_feels_like_c,avg_precip_mm,avg_snow_depth_cm,avg_wind_ms,avg_humidity_pct,avg_pressure_hpa,avg_visibility_m,avg_daylight_min,pct_is_dark,pct_is_daylight,pct_is_twilight,pct_weekend,pct_holiday,pct_speed_viol,pct_pedestrian,pct_bad_road,pct_night
2022,Весна,3,611,22,703,0.03436988543371522,0.281505728314239,0.0,0.28314238952536824,0.32242225859247137,-2.1626841192013306,-6.908642365382268,0.015057283427730907,42.67921449314748,12.84564088053282,73.52765497872561,1002.6530413089134,,710.4161883983088,0.32242225859247137,0.6513911620294599,0.029459901800327332,0.2864157119476268,0.057283142389525366,0.11292962356792144,0.37479541734860883,0.0867430441898527,0.15220949263502456
2022,Весна,4,630,29,698,0.04285714285714286,0.18253968253968253,0.0,0.5428571428571428,0.2492063492063492,6.158095232137139,1.9428503456569852,0.10936507980028788,13.544444489857508,15.396481392307887,67.84445161970835,992.172024390811,,853.3875860825925,0.2492063492063492,0.734920634920635,0.01904761904761905,0.2523809523809524,0.0,0.10317460317460317,0.3619047619047619,0.12222222222222222,0.1380952380952381
2022,Весна,5,695,24,776,0.030215827338129497,0.0,0.0,0.5784172661870504,0.1856115107913669,11.082589949635294,7.233044020563579,0.10690647595220333,0.0,16.2164580609301,58.153269483717224,991.154484108026,,977.2015330083453,0.1856115107913669,0.7956834532374101,0.02302158273381295,0.26187050359712233,0.11942446043165468,0.11654676258992806,0.30935251798561153,0.11654676258992806,0.1683453237410072
2022,Зима,1,538,18,653,0.027881040892193308,0.09665427509293681,0.0,0.6301115241635687,0.5520446096654275,-6.1863382813143355,-11.837871373364473,0.10539033655838895,53.247211945544386,17.93306799426841,87.3377424332289,984.763752650151,,469.1369697825279,0.5520446096654275,0.4163568773234201,0.06319702602230483,0.27695167286245354,0.1654275092936803,0.13382899628252787,0.35315985130111527,0.06505576208178439,0.20631970260223048
2022,Зима,2,502,24,569,0.04780876494023904,0.5219123505976095,0.0,0.5697211155378487,0.44621513944223107,-2.2874502049707086,-7.4659548299721035,0.04541832753327263,56.1972110945865,17.1273307572323,85.58716819580808,988.393881505229,,576.539839875996,0.44621513944223107,0.5219123505976095,0.04780876494023904,0.27091633466135456,0.021912350597609563,0.07768924302788845,0.34462151394422313,0.06374501992031872,0.1693227091633466
2022,Зима,12,576,21,672,0.034722222222222224,0.2534722222222222,0.0,0.4913194444444444,0.6197916666666666,-4.716059027777778,-9.847832205902778,0.1640625,27.281250149305556,15.535143154166668,86.68911357118056,1000.0776080381945,,427.35575315321177,0.6197916666666666,0.359375,0.043402777777777776,0.2586805555555556,0.0,0.1371527777777778,0.4270833333333333,0.059027777777777776,0.15104166666666666
2022,Лето,6,745,33,837,0.040268456375838924,0.0,0.0,0.3288590604026846,0.16241610738255033,20.09771811594099,18.57802272002969,0.04308724878418366,0.0,12.73995344350802,54.618905701093226,995.1734339771655,,1045.46501591132,0.16241610738255033,0.8174496644295302,0.022818791946308724,0.2214765100671141,0.052348993288590606,0.09798657718120805,0.2966442953020134,0.09932885906040269,0.1651006711409396
2022,Лето,7,676,25,756,0.03550295857988166,0.0,0.0,0.27366863905325445,0.1760355029585799,21.849482241466905,21.134181634914242,0.10502958490606948,0.0,11.934344853302077,57.49009128999428,993.9069164208406,,1012.5610875216469,0.1760355029585799,0.8032544378698225,0.023668639053254437,0.3062130177514793,0.0,0.10502958579881656,0.2470414201183432,0.0695266272189349,0.1834319526627219
2022,Лето,8,671,23,780,0.03129657228017884,0.0,0.0,0.25811688311688313,0.262987012987013,23.461688316023196,22.45840720312698,0.02581168767306712,0.0,11.988200659223105,50.67468705819187,1001.0916683231027,,895.9074262393284,0.25671641791044775,0.7164179104477612,0.029850746268656716,0.2459016393442623,0.0,0.11028315946348734,0.29210134128166915,0.04769001490312966,0.18032786885245902
2022,Осень,9,673,22,770,0.031203566121842496,0.0,0.0,0.3789004457652303,0.3016344725111441,10.612184249628529,7.593590946710995,0.12882615156017832,0.0,14.480043513670136,75.59324056909361,991.561629257058,,766.2445893914561,0.3016344725111441,0.6582466567607727,0.04309063893016345,0.2451708766716196,0.0,0.0861812778603269,0.37147102526002973,0.05052005943536404,0.13818722139673106
