year,month,season,day_of_week,time_of_day,is_weekend,dtp_count,dead_total,injured_total,dead_children_total,injured_children_total,pct_speed_viol,pct_priority_viol,pct_bad_road,pct_pedestrian,pct_night,pct_severity_fatal
2022,2,Зима,2,Ночь (22–6),False,8,0,12,0,0,0.0,0.25,0.0,0.5,1.0,0.0
2022,2,Зима,2,Утро (6–12),False,18,0,19,0,1,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.2777777777777778,0.0,0.0
2022,2,Зима,3,Вечер (18–22),False,21,2,19,0,0,0.0,0.047619047619047616,0.14285714285714285,0.3333333333333333,0.0,0.09523809523809523
2022,2,Зима,3,День (12–18),False,26,0,37,0,5,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.34615384615384615,0.0,0.0
2022,2,Зима,3,Ночь (22–6),False,8,0,9,0,0,0.0,0.0,0.0,0.375,1.0,0.0
2022,2,Зима,3,Утро (6–12),False,17,1,19,0,3,0.0,0.11764705882352941,0.058823529411764705,0.23529411764705882,0.0,0.058823529411764705
2022,2,Зима,4,Вечер (18–22),False,20,1,19,0,3,0.1,0.15,0.1,0.5,0.0,0.05
2022,2,Зима,4,День (12–18),False,41,2,46,0,5,0.0975609756097561,0.21951219512195122,0.04878048780487805,0.36585365853658536,0.0,0.04878048780487805
2022,2,Зима,4,Ночь (22–6),False,10,3,8,0,0,0.3,0.0,0.0,0.1,1.0,0.3
2022,2,Зима,4,Утро (6–12),False,16,0,16,0,3,0.1875,0.0625,0.0,0.25,0.0,0.0
2022,2,Зима,5,Вечер (18–22),True,14,2,22,0,4,0.07142857142857142,0.0,0.0,0.5,0.0,0.14285714285714285
2022,2,Зима,5,День (12–18),True,27,0,27,0,4,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.4444444444444444,0.0,0.0
2022,2,Зима,5,Ночь (22–6),True,21,0,25,0,2,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.19047619047619047,1.0,0.0
2022,2,Зима,5,Утро (6–12),True,5,0,6,0,2,0.0,0.0,0.0,0.4,0.0,0.0
2022,2,Зима,6,Вечер (18–22),True,17,2,16,0,2,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.35294117647058826,0.0,0.11764705882352941
2022,2,Зима,6,День (12–18),True,22,0,26,0,4,0.0,0.13636363636363635,0.13636363636363635,0.4090909090909091,0.0,0.0
2022,2,Зима,6,Ночь (22–6),True,15,2,17,0,1,0.3333333333333333,0.0,0.13333333333333333,0.13333333333333333,1.0,0.13333333333333333
2022,2,Зима,6,Утро (6–12),True,15,0,20,0,1,0.0,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.0,0.0
2022,3,Весна,0,Вечер (18–22),False,8,1,7,0,1,0.0,0.0,0.25,0.375,0.0,0.125
2022,3,Весна,0,День (12–18),False,19,0,23,0,2,0.05263157894736842,0.15789473684210525,0.10526315789473684,0.3157894736842105,0.0,0.0
2022,3,Весна,0,Ночь (22–6),False,9,0,9,0,2,0.1111111111111111,0.0,0.0,0.2222222222222222,1.0,0.0
2022,3,Весна,0,Утро (6–12),False,9,0,9,0,2,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.0,0.0
2022,3,Весна,1,Вечер (18–22),False,24,2,29,0,3,0.041666666666666664,0.041666666666666664,0.0,0.5,0.0,0.08333333333333333
2022,3,Весна,1,День (12–18),False,40,0,45,0,4,0.075,0.075,0.075,0.325,0.0,0.0
2022,3,Весна,1,Ночь (22–6),False,17,0,22,0,1,0.5294117647058824,0.058823529411764705,0.23529411764705882,0.29411764705882354,1.0,0.0
2022,3,Весна,1,Утро (6–12),False,33,0,40,0,3,0.06060606060606061,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.0,0.0
2022,3,Весна,2,Вечер (18–22),False,26,0,31,0,5,0.0,0.11538461538461539,0.07692307692307693,0.4230769230769231,0.0,0.0
2022,3,Весна,2,День (12–18),False,40,1,42,0,10,0.1,0.075,0.15,0.45,0.0,0.025
2022,3,Весна,2,Ночь (22–6),False,12,0,19,0,2,0.3333333333333333,0.25,0.0,0.25,1.0,0.0
2022,3,Весна,2,Утро (6–12),False,33,1,39,0,2,0.12121212121212122,0.06060606060606061,0.18181818181818182,0.36363636363636365,0.0,0.030303030303030304
2022,3,Весна,3,Вечер (18–22),False,24,0,25,0,1,0.125,0.041666666666666664,0.0,0.4166666666666667,0.0,0.0
2022,3,Весна,3,День (12–18),False,37,1,36,0,3,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.5135135135135135,0.0,0.02702702702702703
2022,3,Весна,3,Ночь (22–6),False,14,0,16,0,1,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,1.0,0.0
2022,3,Весна,3,Утро (6–12),False,23,2,23,0,1,0.13043478260869565,0.0,0.13043478260869565,0.30434782608695654,0.0,0.08695652173913043
2022,3,Весна,4,Вечер (18–22),False,19,0,23,0,2,0.10526315789473684,0.15789473684210525,0.05263157894736842,0.47368421052631576,0.0,0.0
2022,3,Весна,4,День (12–18),False,30,1,30,0,4,0.1,0.06666666666666667,0.1,0.43333333333333335,0.0,0.03333333333333333
2022,3,Весна,4,Ночь (22–6),False,5,2,6,0,0,0.6,0.0,0.0,0.0,1.0,0.2
2022,3,Весна,4,Утро (6–12),False,14,0,18,0,1,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.0,0.0
2022,3,Весна,5,Вечер (18–22),True,26,2,29,0,5,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.2692307692307692,0.0,0.07692307692307693
2022,3,Весна,5,День (12–18),True,37,0,43,0,14,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.4864864864864865,0.0,0.0
2022,3,Весна,5,Ночь (22–6),True,19,1,24,0,0,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.21052631578947367,1.0,0.05263157894736842
2022,3,Весна,5,Утро (6–12),True,13,2,14,0,1,0.07692307692307693,0.07692307692307693,0.0,0.46153846153846156,0.0,0.15384615384615385
2022,3,Весна,6,Вечер (18–22),True,21,2,23,0,1,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.2857142857142857,0.0,0.09523809523809523
2022,3,Весна,6,День (12–18),True,29,2,46,0,9,0.13793103448275862,0.1724137931034483,0.13793103448275862,0.3448275862068966,0.0,0.06896551724137931
2022,3,Весна,6,Ночь (22–6),True,17,2,19,1,0,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.47058823529411764,1.0,0.11764705882352941
2022,3,Весна,6,Утро (6–12),True,13,0,13,0,0,0.15384615384615385,0.07692307692307693,0.0,0.23076923076923078,0.0,0.0
2022,4,Весна,0,Вечер (18–22),False,25,1,29,0,7,0.08,0.16,0.16,0.64,0.0,0.04
2022,4,Весна,0,День (12–18),False,27,0,28,0,1,0.037037037037037035,0.07407407407407407,0.18518518518518517,0.37037037037037035,0.0,0.0
2022,4,Весна,0,Ночь (22–6),False,10,2,9,0,0,0.4,0.0,0.3,0.4,1.0,0.2
2022,4,Весна,0,Утро (6–12),False,15,0,19,0,1,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.0
2022,4,Весна,1,Вечер (18–22),False,23,0,25,0,1,0.0,0.0,0.13043478260869565,0.34782608695652173,0.0,0.0
2022,4,Весна,1,День (12–18),False,38,1,42,0,13,0.07894736842105263,0.07894736842105263,0.18421052631578946,0.4473684210526316,0.0,0.02631578947368421
2022,4,Весна,1,Ночь (22–6),False,12,2,15,0,0,0.16666666666666666,0.08333333333333333,0.25,0.08333333333333333,1.0,0.16666666666666666
2022,4,Весна,1,Утро (6–12),False,21,0,21,0,0,0.0,0.047619047619047616,0.047619047619047616,0.2857142857142857,0.0,0.0
2022,4,Весна,2,Вечер (18–22),False,21,0,25,0,3,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.47619047619047616,0.0,0.0
