dtp_id,moment_date,year,month,day_of_week,hour,time_of_day,season,is_weekend,is_night,is_rush_hour,type_code,type_name_decoded,type_group,severity,dead_count,injured_count,dead_children_count,injured_children_count,vehicles_count,participant_count,area_id,district_id,source_year,place_latitude,place_longitude,road_type_code,street_name,road_name,road_loc,traffic_lane_amount,srf_code,road_sign_code
502135627,2022-01-03,2022,1,0,17,День (12–18),Зима,False,False,True,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,2,0,0,1,3,11,9,input/2022,55.705408,37.585816,,Вавилова ул,,,2.0,Асфальтобетонное,
502157627,2022-01-03,2022,1,0,20,Вечер (18–22),Зима,False,False,False,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,0,1,2,4,23,input/2022,55.777961,37.521733,,Хорошёвское ш,,,7.0,Асфальтобетонное,
502159027,2022-01-03,2022,1,0,22,Ночь (22–6),Зима,False,True,False,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,0,1,2,4,23,input/2022,55.799158,37.534103,,Ленинградский пр-кт,,,5.0,Асфальтобетонное,
502659027,2022-01-03,2022,1,0,20,Вечер (18–22),Зима,False,False,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,2,4,50,input/2022,55.790117,37.572341,,Новая Башиловка ул,Третье транспортное кольцо - внутренняя сторона,34.025,4.0,Асфальтобетонное,
502828227,2022-01-03,2022,1,0,17,День (12–18),Зима,False,False,True,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,3,2,85,input/2022,55.703389,37.400862,,Сколковское ш,,,4.0,"Асфальтобетонное, с поверхностной обработкой",
502137827,2022-01-03,2022,1,0,17,День (12–18),Зима,False,False,True,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,0,1,2,9,32,input/2022,55.658851,37.619365,,Варшавское ш,,,8.0,Асфальтобетонное,
502659627,2022-01-03,2022,1,0,13,День (12–18),Зима,False,False,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,2,4,139,input/2022,55.83444,37.5208,,Коптевская ул,,,4.0,Асфальтобетонное,
502153227,2022-01-03,2022,1,0,21,Вечер (18–22),Зима,False,False,False,8,Наезд на животное,Прочее,Ранение,0,1,0,0,1,2,11,109,input/2022,55.68142,37.535863,,Ленинский пр-кт,,,4.0,Асфальтобетонное,
502178827,2022-01-03,2022,1,0,22,Ночь (22–6),Зима,False,True,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,3,9,87,input/2022,55.70328,37.649084,,,Третье транспортное кольцо - внешняя сторона,7,4.0,Асфальтобетонное,
502157227,2022-01-03,2022,1,0,17,День (12–18),Зима,False,False,True,1,Столкновение ТС,Столкновение,Ранение,0,1,0,1,2,3,4,23,input/2022,55.790377,37.527022,,,,,2.0,Асфальтобетонное,
