cell_id,year,dtp_count,dead_total,injured_total,dead_children_total,pct_fatal,pct_injured,pct_speed_viol,pct_priority_viol,pct_pedestrian,pct_bad_road,pct_night,pct_weekend,pct_rush_hour,pct_at_intersection,pct_on_open_road,pct_has_camera,pct_has_crosswalk_pt,pct_has_traffic_light,pct_has_bus_stop,avg_lane_width_m,avg_dist_intersection,avg_dist_crosswalk,avg_dist_bus_stop,avg_poi_100m,avg_poi_300m,mortality_rate,cell_h3_res,cell_has_traffic_light,cell_has_crosswalk,cell_has_bus_stop,cell_is_intersection,cell_is_open_road,cell_has_camera,cell_traffic_lane_amount,cell_lane_width_m,cell_is_multilane,cell_distance_to_intersection_m,cell_distance_to_bus_stop_m,cell_poi_count_100m,cell_poi_count_300m,cell_crossing_density,cell_stop_density,cell_speed_limit,cell_road_class,cell_landuse_type
8811aa6111fffff,2022,13,0,14,0,0.0,1.0,0.0,0.07692307692307693,0.7692307692307693,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.38461538461538464,0.7692307692307693,0.07692307692307693,0.0,0.0,0.0,0.46153846153846156,80.57692307692308,198.2267287703656,,162.89569636007056,0.0,7.0,0.0,8,0.0,0.0,0.3636363636363636,0.6363636363636364,0.0909090909090909,0.0,2.787878787878788,57.56565656565657,0.3939393939393939,198.2267287703656,162.8956963600706,0.0,7.0,0.0,5.0,60.0,service,residential
8811aa6111fffff,2023,8,0,8,0,0.0,1.0,0.0,0.375,0.5,0.25,0.0,0.375,0.25,0.625,0.125,0.0,0.0,0.0,0.5,42.45833333333333,198.2267287703656,,162.8956963600706,0.0,7.0,0.0,8,0.0,0.0,0.3636363636363636,0.6363636363636364,0.0909090909090909,0.0,2.787878787878788,57.56565656565657,0.3939393939393939,198.2267287703656,162.8956963600706,0.0,7.0,0.0,5.0,60.0,service,residential
8811aa6111fffff,2024,12,0,14,0,0.0,1.0,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.25,0.25,0.5,0.0,0.5,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,42.708333333333336,198.2267287703656,,162.8956963600706,0.0,7.0,0.0,8,0.0,0.0,0.3636363636363636,0.6363636363636364,0.0909090909090909,0.0,2.787878787878788,57.56565656565657,0.3939393939393939,198.2267287703656,162.8956963600706,0.0,7.0,0.0,5.0,60.0,service,residential
8811aa6113fffff,2022,4,0,4,0,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0,0.75,78.1875,141.79330207823477,,105.25352566066836,0.0,17.0,0.0,8,0.0,0.0,0.5,0.5666666666666667,0.1333333333333333,0.0,3.033333333333333,47.81944444444444,0.5666666666666667,141.79330207823477,105.25352566066836,0.0,17.0,0.0,9.0,60.0,service,residential
8811aa6113fffff,2023,15,1,17,0,0.06666666666666667,0.9333333333333333,0.0,0.06666666666666667,0.6666666666666666,0.06666666666666667,0.0,0.26666666666666666,0.6,0.5333333333333333,0.26666666666666666,0.0,0.0,0.0,0.6666666666666666,48.07222222222222,141.79330207823477,,105.25352566066836,0.0,17.0,0.0667,8,0.0,0.0,0.5,0.5666666666666667,0.1333333333333333,0.0,3.033333333333333,47.81944444444444,0.5666666666666667,141.79330207823477,105.25352566066836,0.0,17.0,0.0,9.0,60.0,service,residential
8811aa6113fffff,2024,11,0,11,0,0.0,1.0,0.18181818181818182,0.09090909090909091,0.5454545454545454,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.5454545454545454,0.0,0.0,0.0,0.0,0.18181818181818182,36.43181818181818,141.79330207823477,,105.25352566066836,0.0,17.0,0.0,8,0.0,0.0,0.5,0.5666666666666667,0.1333333333333333,0.0,3.033333333333333,47.81944444444444,0.5666666666666667,141.79330207823477,105.25352566066836,0.0,17.0,0.0,9.0,60.0,service,residential
8811aa6117fffff,2022,1,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,65.5,408.5617379428364,,449.1769501395421,0.0,0.0,0.0,8,0.0,0.0,0.0,1.0,0.5,0.0,2.0,52.875,0.0,408.5617379428364,449.1769501395421,0.0,0.0,0.0,0.0,60.0,service,park
8811aa6117fffff,2023,2,0,3,0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,48.0,408.5617379428364,,449.1769501395421,0.0,0.0,0.0,8,0.0,0.0,0.0,1.0,0.5,0.0,2.0,52.875,0.0,408.5617379428364,449.1769501395421,0.0,0.0,0.0,0.0,60.0,service,park
8811aa6117fffff,2024,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,408.5617379428364,,449.1769501395421,0.0,0.0,0.0,8,0.0,0.0,0.0,1.0,0.5,0.0,2.0,52.875,0.0,408.5617379428364,449.1769501395421,0.0,0.0,0.0,0.0,60.0,service,park
8811aa6119fffff,2022,4,0,5,0,0.0,1.0,0.0,0.0,0.25,0.5,0.0,0.25,0.5,0.5,0.5,0.0,0.0,0.0,0.25,54.8125,200.261347114794,,199.12214992696357,0.0,4.0,0.0,8,0.0,0.0,0.3,0.25,0.25,0.0,2.1,52.19583333333334,0.2,200.261347114794,199.12214992696357,0.0,4.0,0.0,3.0,60.0,path,residential
8811aa6119fffff,2023,8,0,8,0,0.0,1.0,0.0,0.0,0.875,0.125,0.125,0.0,0.5,0.125,0.125,0.0,0.0,0.0,0.375,55.875,200.261347114794,,199.12214992696357,0.0,4.0,0.0,8,0.0,0.0,0.3,0.25,0.25,0.0,2.1,52.19583333333334,0.2,200.261347114794,199.12214992696357,0.0,4.0,0.0,3.0,60.0,path,residential
